level,dataset,tile,band,GT,TP,FP,FN,precision,recall,clean_GT,clean_TP,clean_FP,clean_FN,clean_precision,clean_recall,ordinary_GT,ordinary_TP,ordinary_FP,ordinary_FN,ordinary_precision,ordinary_recall,total_GT,total_TP,total_FP,total_FN,total_precision,total_recall
band_total,denoised,ALL,HSC-Z,544,495,423,49,0.5392156862745098,0.9099264705882353,544,495,423,49,0.5392156862745098,0.9099264705882353,244,181,23,63,0.8872549019607843,0.7418032786885246,788,676,446,112,0.6024955436720143,0.8578680203045685
band_total,denoised,ALL,HSC-Y,415,351,362,64,0.49228611500701264,0.8457831325301205,415,351,362,64,0.49228611500701264,0.8457831325301205,313,248,47,65,0.8406779661016949,0.792332268370607,728,599,409,129,0.5942460317460317,0.8228021978021978
band_total,noisy,ALL,HSC-G,642,581,352,61,0.6227224008574491,0.9049844236760125,642,581,352,61,0.6227224008574491,0.9049844236760125,131,84,35,47,0.7058823529411765,0.6412213740458015,773,665,387,108,0.6321292775665399,0.8602846054333765
band_total,noisy,ALL,HSC-R,642,584,454,58,0.5626204238921002,0.9096573208722741,642,584,454,58,0.5626204238921002,0.9096573208722741,152,93,36,59,0.7209302325581395,0.6118421052631579,794,677,490,117,0.5801199657240789,0.8526448362720404
band_total,noisy,ALL,HSC-I,623,561,346,62,0.6185226019845645,0.9004815409309791,623,561,346,62,0.6185226019845645,0.9004815409309791,171,117,20,54,0.8540145985401459,0.6842105263157895,794,678,366,116,0.6494252873563219,0.853904282115869
band_total,noisy,ALL,HSC-Z,544,504,288,40,0.6363636363636364,0.9264705882352942,544,504,288,40,0.6363636363636364,0.9264705882352942,244,165,41,79,0.8009708737864077,0.6762295081967213,788,669,329,119,0.6703406813627254,0.8489847715736041
band_total,noisy,ALL,HSC-Y,415,366,217,49,0.62778730703259,0.8819277108433735,415,366,217,49,0.62778730703259,0.8819277108433735,313,218,33,95,0.8685258964143426,0.6964856230031949,728,584,250,144,0.7002398081534772,0.8021978021978022
dataset_total,coadd,ALL,ALL,2866,2691,1666,175,0.6176268074363094,0.9389392882065597,2866,2691,1666,175,0.6176268074363094,0.9389392882065597,1011,810,208,201,0.7956777996070727,0.8011869436201781,3877,3501,1874,376,0.6513488372093024,0.9030177972659272
dataset_total,denoised,ALL,ALL,2866,2581,2125,285,0.5484487887802805,0.9005582693649686,2866,2581,2125,285,0.5484487887802805,0.9005582693649686,1011,722,129,289,0.8484136310223267,0.7141444114737884,3877,3303,2254,574,0.5943854597804571,0.851947381996389
dataset_total,noisy,ALL,ALL,2866,2596,1657,270,0.6103926640018811,0.9057920446615492,2866,2596,1657,270,0.6103926640018811,0.9057920446615492,1011,677,165,334,0.8040380047505938,0.6696340257171117,3877,3273,1822,604,0.6423945044160942,0.8442094402888831
