tile,band,source_id,local_x,local_y,major,minor,angle_deg,area,large_center_only
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184723,258.812181,252.119707,0.046374,0.046366,-45.034211,0.006755,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184725,339.579596,319.768844,0.019764,0.019762,-60.414868,0.001227,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184726,295.183415,106.768313,0.035025,0.035022,-51.103903,0.003854,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184727,296.117062,369.250426,2.186192,0.945697,-54.345572,6.495164,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184728,335.795119,349.368697,0.524977,0.524902,15.668365,0.865701,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184729,316.470394,393.249912,0.905028,0.904013,-74.153487,2.570317,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184730,304.983100,406.886469,1.192152,1.186876,-61.461064,4.445154,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184731,275.699449,280.047670,12.364703,4.600515,6.472131,178.706348,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184732,294.935992,340.091470,0.759224,0.758903,5.655706,1.810114,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184733,206.695555,253.709920,0.331238,0.331227,53.648934,0.344681,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184734,331.210400,304.925057,0.795075,0.794703,25.657730,1.985009,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184738,220.562407,243.912676,1.050113,1.049805,27.320859,3.463335,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184740,254.058835,238.202807,0.015514,0.015513,28.901165,0.000756,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184741,241.593766,170.821537,2.803184,2.800295,22.513304,24.660692,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184742,145.646010,345.522446,4.862803,1.434149,53.061777,21.909412,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184743,253.517499,144.334376,69.988549,40.327012,82.810950,8866.922342,1
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184745,216.772598,288.428371,4.921541,1.645919,75.262990,25.448341,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184746,296.973750,241.432281,0.039443,0.039440,-47.051401,0.004887,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184792,190.430684,180.186496,1.462160,0.630016,71.993690,2.893983,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184793,207.147846,192.218499,0.982822,0.645282,71.851525,1.992389,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184794,188.982830,169.603901,0.940121,0.939194,22.122145,2.773888,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184795,215.754548,194.476027,2.256915,1.519172,46.090165,10.771399,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184796,175.251815,183.558182,0.803590,0.803448,-68.643693,2.028346,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184960,5.019106,223.793115,1.161798,1.063593,-21.041739,3.882003,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184961,49.153115,268.360194,4.955568,3.219343,36.960188,50.119944,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184962,91.429347,350.406516,2.041371,0.859157,-48.120156,5.509907,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184964,9.387221,195.086424,3.889402,1.384140,35.761945,16.912693,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184965,98.831650,347.983105,4.376428,2.350065,-51.626655,32.310941,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184969,14.119428,335.063441,7.077826,1.935814,74.678623,43.044065,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184970,57.236321,405.702937,2.393918,1.006332,-36.370010,7.568334,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184971,30.294812,260.035875,0.044623,0.043034,-6.588087,0.006033,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184972,62.353087,309.832882,0.498321,0.312416,26.847142,0.489094,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184973,80.893382,363.222798,2.296775,0.750012,17.144813,5.411738,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184974,85.488736,249.243043,4.742724,3.196302,-60.499294,47.623967,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184975,78.250877,230.963271,1.323516,0.810758,82.457314,3.371090,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184977,26.146886,180.326070,1.788157,1.551750,-74.205555,8.717209,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184978,28.903760,309.470918,1.501558,0.804855,-40.029722,3.796728,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184979,85.561710,305.211640,2.213637,2.187416,-32.967607,15.212048,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184980,2.219905,342.165810,0.931938,0.912269,-16.671945,2.670911,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184981,38.735340,231.236694,1.057525,0.729060,35.776642,2.422166,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184982,77.443528,289.320817,0.039571,0.039562,-40.659335,0.004918,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184983,91.644015,223.155965,1.053654,0.466588,-85.997199,1.544477,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184984,65.331434,244.950673,3.068415,1.190351,-81.489785,11.474638,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184987,27.640024,414.945467,0.342575,0.342468,-73.199742,0.368575,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184988,13.118829,241.383964,3.922723,2.803021,-53.983771,34.543305,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184989,16.985616,392.782661,30.703862,9.635944,-62.481583,929.473762,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184990,70.836840,265.910003,0.949733,0.679835,83.535922,2.028404,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184991,65.224643,234.970723,0.330322,0.330124,65.577241,0.342582,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184992,47.312105,287.071393,0.434249,0.396966,-29.155504,0.541554,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184993,15.895167,419.046854,3.459641,3.043653,-76.647087,33.080807,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184994,0.045479,204.624135,0.589485,0.589210,-71.127146,1.091170,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184997,15.505484,181.915356,0.846189,0.774445,-6.404902,2.058769,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184999,83.674922,314.968435,1.943045,1.591840,-27.348813,9.716997,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185000,118.672823,190.691845,1.315835,0.689863,37.951194,2.851769,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185001,28.096825,171.339783,0.693638,0.693478,-48.382916,1.511178,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185003,68.947491,214.709164,0.619726,0.619618,-3.131214,1.206351,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185004,25.472740,248.712327,0.765473,0.765097,-32.722113,1.839909,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185006,36.821442,401.143148,0.048324,0.048317,-63.541145,0.007335,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185010,23.668562,346.138589,0.669218,0.669173,-55.162452,1.406876,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185013,52.847179,310.819306,0.950343,0.818696,78.646020,2.444289,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185014,43.031295,320.099894,2.453528,1.592734,-16.783603,12.276766,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185015,40.646063,297.057979,2.097868,1.317782,58.980788,8.685033,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185019,38.693505,332.999755,1.021428,0.958180,74.035427,3.074712,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185024,52.918703,419.139186,0.707537,0.707429,-5.932289,1.572469,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185027,111.241502,195.418357,1.481311,1.202517,-8.975925,5.596123,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185028,92.801240,210.229731,1.567648,1.559897,85.678287,7.682353,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185034,409.288318,197.861660,0.922019,0.921518,-61.134172,2.669277,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185035,422.252818,210.781794,1.121836,0.883696,-79.726131,3.114456,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185649,395.104816,282.543200,5.110225,2.920186,-22.492835,46.881387,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185650,338.609809,242.059865,3.360883,0.655561,24.294150,6.921758,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185651,379.918436,225.350193,2.608817,2.076827,-40.670348,17.021341,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185652,386.656180,244.883948,0.665848,0.665224,-54.474931,1.391531,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185653,405.823908,269.965918,3.638225,1.200627,47.696138,13.722948,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185654,395.080836,235.999516,0.347782,0.347665,-48.617607,0.379855,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185655,363.279889,221.885850,0.781700,0.702367,-16.365851,1.724863,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185656,372.360545,266.583416,0.575862,0.575614,-34.485435,1.041357,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185657,396.069235,224.452388,8.576077,6.119957,88.896153,164.887191,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185658,395.162705,221.155778,2.922570,1.252563,76.812305,11.500440,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185659,409.991059,292.270045,3.176600,1.280128,-73.327248,12.775140,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185660,413.576397,303.266666,2.228240,2.209351,45.391195,15.465950,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185661,327.419026,225.219049,2.696923,2.695975,79.471292,22.842006,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185664,483.151992,240.870691,1.116671,0.699416,32.745588,2.453639,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185665,495.812669,233.962199,0.674622,0.674191,33.272504,1.428871,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185666,475.045866,238.988816,1.847603,1.824130,-28.151805,10.588006,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185755,103.204778,271.690825,0.225616,0.225575,-55.337692,0.159886,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185789,439.665782,253.009923,2.611971,1.966826,52.169995,16.139283,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185790,449.378764,272.902792,1.665540,0.404030,14.947787,2.114066,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185791,443.695570,268.957832,1.149908,0.541074,-54.313384,1.954654,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185792,438.488706,229.317914,0.037092,0.037074,-50.148300,0.004320,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185793,451.283340,257.408470,10.323189,3.951523,0.291226,128.152855,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185794,444.612472,240.793675,0.751800,0.751604,-67.165718,1.775177,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185894,467.296164,309.256391,1.243127,0.901772,72.030580,3.521778,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342185896,458.813455,324.431723,1.562447,1.558691,-42.855679,7.650948,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342186078,502.568931,365.054347,2.751814,1.666900,62.206361,14.410485,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342186079,469.411731,355.842184,0.506920,0.267206,65.502958,0.425536,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342186080,482.464978,353.514326,1.568627,0.715751,-58.728917,3.527212,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342186081,489.199180,326.291088,2.447517,1.196375,67.179479,9.199047,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342186082,495.071781,336.050014,2.306823,0.926632,13.824026,6.715395,0
