tile,band,source_id,local_x,local_y,major,minor,angle_deg,area,large_center_only
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160176,221.599510,329.554393,3.250302,2.683848,-74.020818,27.405108,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160209,212.441580,345.347000,1.753370,0.772991,69.092587,4.257924,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160233,74.518091,359.333395,2.339718,1.758210,87.658572,12.923619,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160244,300.502394,360.951239,0.421309,0.421094,-84.828647,0.557353,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160388,44.000000,428.000000,24.751494,11.918004,74.658331,926.733388,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160430,48.422939,445.308718,36.285889,32.530408,-81.442936,3708.319621,1
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160440,419.292927,453.487640,21.442311,4.557034,-57.445418,306.975496,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160488,305.235380,479.542854,1.726894,0.852761,-27.382750,4.626398,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160521,74.038393,503.651071,5.673375,0.947168,-63.509231,16.881785,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160539,348.038476,506.667014,0.027279,0.027276,-51.929010,0.002338,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342161102,27.917266,307.026748,1.440970,1.440774,67.996540,6.522300,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342161113,332.000000,468.000000,2.130003,2.128108,66.687765,14.240452,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342161583,302.641774,83.024180,0.776286,0.776010,-73.408598,1.892512,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342161590,16.217801,203.701472,1.297537,1.296888,72.460694,5.286547,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342161591,421.097070,262.280286,1.907972,0.687102,-62.689273,4.118537,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342188375,504.936428,58.604173,2.947880,1.223764,30.098160,11.333321,0
